NFCSID,A1,A2,A3,B2_1,B2_2,B2_3,B2_4,B2_5,B2_20,B2_23,B2_24,B30,B31,B3,B32,B4,B6,B20,B34,B10,B11,B35,B23,B24,B25,B26,C22_1,C22_2,C22_3,C22_4,C24,C25,C26,C30,C7,D1_1,D1_2,D2,D3,D21,D30,D31,E1_1,E5,E6,F30_1,F30_2,F30_3,F30_4,F30_5,F30_6,F30_7,F30_8,F30_9,F30_10,F30_11,F30_12,F31_1,F31_2,F31_3,F31_4,F31_5,F31_6,F31_7,F31_8,F31_9,F31_10,F31_11,G1,G2,G30_1,G30_2,G30_3,G30_4,G30_5,G30_6,G31,G4,G5,G6,G7,G21,G8,G11,G12,G13,H31,WGT1,S_Gender2,S_Age,S_Ethnicity,S_Education,S_Income,B4_log
2021010001.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,8,2,,2,2.0,1.0,2.0,1.0,4,1,1,1.0,2.0,3.0,2.0,2.0,7,1.0,1.0,1.0,9.0,7.0,5.0,2.0,1.0,3.0,5.0,7.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,5,1.0,3.0,1.0,1.0,2.0,3.0,8.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.73604906279066,2.0,1.0,1.0,2.0,3.0,2.1972245773362196
2021010028.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,3.0,1.0,5,2,,2,3.0,2.0,2.0,1.0,3,2,,1.0,2.0,3.0,3.0,3.0,10,2.0,2.0,2.0,7.0,6.0,3.0,2.0,1.0,3.0,2.0,7.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,4,2.0,3.0,2.0,1.0,1.0,1.0,10.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,3.0,3.0,1.0,0.547489916262363,2.0,3.0,1.0,2.0,1.0,1.791759469228055
2021010039.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,7,,,1,3.0,2.0,2.0,1.0,4,2,1,2.0,2.0,2.0,1.0,3.0,7,,2.0,,8.0,6.0,3.0,2.0,1.0,3.0,3.0,7.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,5,2.0,3.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,2.0,0.547489916262363,1.0,3.0,1.0,2.0,2.0,2.0794415416798357
2021010045.0,2.0,2.0,1.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2,,,,3.0,1.0,2.0,1.0,4,2,1,,1.0,3.0,3.0,2.0,,,,2.0,6.0,6.0,3.0,2.0,3.0,1.0,5.0,,,2.0,,,,,,,,,,,,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,5,2.0,2.0,1.0,,,2.0,7.0,,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.63877296688841,1.0,2.0,2.0,1.0,1.0,1.0986122886681098
2021010048.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,6,,,,3.0,1.0,2.0,1.0,5,2,2,2.0,2.0,1.0,1.0,2.0,8,2.0,2.0,2.0,7.0,1.0,3.0,3.0,3.0,3.0,2.0,7.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,6,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.870537201388863,1.0,3.0,1.0,1.0,1.0,1.9459101490553132
2021010050.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3,,,,3.0,2.0,2.0,1.0,4,2,2,1.0,1.0,2.0,1.0,2.0,7,2.0,2.0,2.0,10.0,9.0,3.0,2.0,1.0,1.0,1.0,7.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,5,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,0.903030607790991,2.0,2.0,2.0,2.0,2.0,1.3862943611198906
2021010085.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,8,,,,3.0,1.0,2.0,1.0,,2,2,3.0,2.0,1.0,1.0,2.0,9,2.0,2.0,2.0,9.0,8.0,3.0,2.0,3.0,2.0,1.0,9.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,5,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,0.547489916262363,1.0,3.0,1.0,2.0,2.0,2.1972245773362196
2021010088.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,6,,,,1.0,1.0,2.0,1.0,4,2,2,1.0,2.0,1.0,1.0,3.0,10,2.0,2.0,2.0,8.0,5.0,4.0,2.0,3.0,3.0,1.0,10.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,4,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.547489916262363,2.0,3.0,2.0,2.0,2.0,1.9459101490553132
2021010090.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,7,,,,4.0,2.0,2.0,1.0,5,2,2,2.0,2.0,3.0,1.0,3.0,3,2.0,2.0,2.0,7.0,7.0,3.0,2.0,3.0,3.0,3.0,7.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,3,2.0,2.0,2.0,1.0,1.0,3.0,5.0,,2.0,2.0,1.0,,1.0,3.0,2.0,3.0,1.0,0.547489916262363,2.0,3.0,1.0,2.0,2.0,2.0794415416798357
2021010095.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,2.0,2.0,5.0,1.0,1.0,2.0,8,,,,4.0,3.0,2.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,6,2.0,2.0,2.0,,,3.0,2.0,3.0,3.0,1.0,,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1.0,3.0,1.0,1.0,1.0,1.0,5.0,,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,0.870537201388863,2.0,3.0,1.0,1.0,1.0,2.1972245773362196
2021010109.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,,5.0,1.0,1.0,2.0,10,,,,3.0,2.0,2.0,1.0,5,2,2,1.0,1.0,1.0,1.0,2.0,,,2.0,2.0,7.0,7.0,3.0,2.0,3.0,3.0,2.0,7.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,0.870537201388863,1.0,3.0,1.0,1.0,1.0,2.3978952727983707
2021010110.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,6,,,,2.0,1.0,2.0,2.0,,,,1.0,2.0,1.0,1.0,2.0,10,2.0,2.0,2.0,10.0,8.0,3.0,3.0,1.0,3.0,1.0,6.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,6,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,0.547489916262363,1.0,3.0,1.0,2.0,3.0,1.9459101490553132
2021010115.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,4.0,2.0,10,1,2,,3.0,1.0,2.0,1.0,5,2,2,1.0,1.0,3.0,2.0,4.0,9,2.0,2.0,2.0,8.0,7.0,3.0,2.0,1.0,1.0,2.0,8.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,6,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,2.0,0.547489916262363,1.0,3.0,1.0,2.0,3.0,2.3978952727983707
2021010144.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,1.0,3.0,1.0,4,1,1,1,3.0,1.0,2.0,1.0,4,2,2,3.0,3.0,3.0,3.0,5.0,10,1.0,1.0,1.0,9.0,8.0,3.0,3.0,1.0,1.0,7.0,8.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,7,3.0,3.0,3.0,2.0,3.0,3.0,9.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.903030607790991,1.0,2.0,1.0,2.0,2.0,1.6094379124341003
2021010149.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,5,,,,4.0,2.0,2.0,2.0,,,,3.0,1.0,1.0,1.0,3.0,7,2.0,2.0,2.0,8.0,8.0,4.0,2.0,3.0,3.0,3.0,8.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4,,3.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,0.870537201388863,1.0,3.0,1.0,1.0,1.0,1.791759469228055
2021010153.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,2,,,,3.0,3.0,2.0,1.0,,2,2,1.0,1.0,2.0,1.0,1.0,10,2.0,2.0,2.0,10.0,1.0,3.0,3.0,3.0,2.0,1.0,10.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,5,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.547489916262363,1.0,3.0,1.0,2.0,3.0,1.0986122886681098
2021010154.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,2.0,9,,,,3.0,1.0,2.0,1.0,5,2,2,3.0,1.0,1.0,1.0,2.0,8,1.0,,2.0,7.0,6.0,3.0,2.0,3.0,3.0,2.0,7.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,5,1.0,3.0,1.0,2.0,2.0,2.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,0.547489916262363,1.0,3.0,1.0,2.0,2.0,2.302585092994046
2021010156.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,7,,,,2.0,1.0,2.0,1.0,5,2,,3.0,2.0,1.0,1.0,3.0,10,1.0,2.0,2.0,8.0,5.0,2.0,2.0,1.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,5,3.0,3.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,0.547489916262363,1.0,3.0,1.0,2.0,2.0,2.0794415416798357
2021010159.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,10,,,,3.0,1.0,2.0,1.0,3,1,2,2.0,2.0,2.0,2.0,2.0,3,2.0,2.0,2.0,6.0,6.0,3.0,2.0,3.0,3.0,2.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,5,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.547489916262363,1.0,3.0,1.0,2.0,3.0,2.3978952727983707
2021010160.0,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,6,2,,2,2.0,1.0,2.0,1.0,4,2,2,1.0,1.0,2.0,2.0,2.0,10,2.0,2.0,2.0,9.0,6.0,3.0,2.0,1.0,3.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,6,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,0.903030607790991,1.0,2.0,1.0,2.0,3.0,1.9459101490553132
2021010162.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,9,,,2,2.0,2.0,2.0,1.0,4,2,2,1.0,1.0,3.0,3.0,1.0,10,1.0,2.0,2.0,10.0,6.0,4.0,2.0,3.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,6,1.0,3.0,1.0,,1.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.547489916262363,2.0,3.0,1.0,2.0,3.0,2.302585092994046
2021010164.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,4.0,2.0,6,2,,2,2.0,1.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,9,1.0,1.0,1.0,9.0,9.0,3.0,2.0,1.0,3.0,6.0,9.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,7,1.0,3.0,1.0,3.0,3.0,3.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,0.903030607790991,1.0,2.0,1.0,2.0,3.0,1.9459101490553132
2021010165.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,10,,,,3.0,1.0,2.0,2.0,,,,2.0,2.0,1.0,1.0,4.0,10,1.0,2.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,1.0,3.0,2.0,4.0,1.0,0.547489916262363,2.0,3.0,1.0,2.0,3.0,2.3978952727983707
2021010167.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,10,2,,,2.0,1.0,2.0,2.0,,,,1.0,1.0,3.0,1.0,1.0,10,2.0,2.0,1.0,,5.0,6.0,3.0,3.0,3.0,2.0,7.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,6,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,0.870537201388863,1.0,3.0,1.0,1.0,3.0,2.3978952727983707
2021010171.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,7,,,,4.0,3.0,2.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,9,,2.0,2.0,8.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,0.870537201388863,2.0,3.0,1.0,1.0,2.0,2.0794415416798357
2021010172.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,10,,,,2.0,1.0,2.0,1.0,4,2,2,2.0,1.0,2.0,1.0,3.0,9,2.0,2.0,2.0,10.0,8.0,3.0,3.0,1.0,3.0,3.0,8.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,5,2.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,0.547489916262363,2.0,3.0,1.0,2.0,1.0,2.3978952727983707
2021010174.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,,5.0,1.0,3.0,2.0,8,,,,3.0,1.0,2.0,1.0,5,2,2,1.0,1.0,1.0,1.0,4.0,5,1.0,,2.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.870537201388863,2.0,3.0,1.0,1.0,2.0,2.1972245773362196
2021010182.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,7,,,,3.0,1.0,2.0,1.0,4,2,2,1.0,1.0,3.0,1.0,1.0,7,1.0,,2.0,6.0,6.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,5,1.0,3.0,1.0,1.0,2.0,2.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,0.870537201388863,2.0,3.0,1.0,1.0,2.0,2.0794415416798357
2021010186.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,6,,,,3.0,1.0,2.0,1.0,4,2,2,1.0,1.0,1.0,1.0,1.0,10,2.0,2.0,2.0,7.0,7.0,3.0,2.0,3.0,3.0,4.0,8.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,5,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,0.870537201388863,2.0,3.0,1.0,1.0,2.0,1.9459101490553132
2021010191.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,6,,,,2.0,1.0,2.0,1.0,5,2,2,1.0,1.0,1.0,1.0,1.0,10,2.0,2.0,2.0,10.0,9.0,4.0,3.0,3.0,3.0,5.0,7.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,5,1.0,3.0,2.0,1.0,2.0,2.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,0.547489916262363,2.0,3.0,1.0,2.0,3.0,1.9459101490553132
2021010193.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,10,,,,3.0,1.0,2.0,1.0,5,2,2,3.0,1.0,1.0,1.0,2.0,,,2.0,2.0,9.0,9.0,3.0,3.0,3.0,3.0,1.0,8.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5,2.0,3.0,1.0,1.0,,2.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,0.547489916262363,1.0,3.0,1.0,2.0,2.0,2.3978952727983707
2021010197.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,8,,,,2.0,1.0,2.0,1.0,4,1,1,1.0,1.0,3.0,2.0,1.0,10,2.0,2.0,2.0,9.0,7.0,3.0,2.0,3.0,3.0,1.0,8.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,5,3.0,3.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,0.547489916262363,1.0,3.0,1.0,2.0,1.0,2.1972245773362196
2021010201.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,7,,,,4.0,3.0,2.0,1.0,4,2,2,3.0,3.0,1.0,1.0,3.0,2,1.0,2.0,2.0,7.0,7.0,3.0,2.0,3.0,3.0,4.0,,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,2.0,2.0,1.0,,1.0,3.0,2.0,3.0,1.0,0.547489916262363,2.0,3.0,1.0,2.0,3.0,2.0794415416798357
2021010203.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,2.0,10,2,,1,3.0,3.0,2.0,1.0,5,1,2,1.0,1.0,3.0,2.0,1.0,10,2.0,2.0,2.0,10.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,5.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,6,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,0.547489916262363,1.0,3.0,1.0,2.0,3.0,2.3978952727983707
2021010212.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,4.0,1.0,9,2,,2,2.0,1.0,2.0,1.0,,2,2,1.0,1.0,3.0,1.0,2.0,,2.0,2.0,2.0,10.0,,3.0,2.0,1.0,2.0,4.0,7.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,6,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,0.547489916262363,1.0,3.0,1.0,2.0,2.0,2.302585092994046
2021010215.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,10,2,,,2.0,1.0,2.0,2.0,,,,1.0,1.0,3.0,1.0,1.0,10,1.0,1.0,2.0,8.0,8.0,3.0,3.0,3.0,3.0,1.0,7.0,,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,5,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,0.870537201388863,1.0,3.0,1.0,1.0,1.0,2.3978952727983707
2021010220.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,,,,,,3.0,1.0,2.0,1.0,4,2,2,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,7.0,7.0,2.0,2.0,3.0,3.0,4.0,7.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4,2.0,3.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,0.547489916262363,2.0,3.0,1.0,2.0,3.0,
